Topic,Outcomes,Description,Opportunity,Prerequisite
golfscript,,,,
golo,codeskulptordata analysispython programmingdata visualization (dataviz)python syntax and semanticsdebuggingtuplelist & labelcodeskulptorpython syntax and semanticspython programmingdebuggingdebuggingencryption algorithms and techniquescustomer servicenetwork protocolscloud computingbinary codecustomer supportlinuxtroubleshootingdomain name system (dns)ipv4network model,"this specialization is intended for beginners who would like to master essential programming skills.  through four courses, you will cover key programming concepts in python 3 which will prepare you to use python to perform common scripting tasks.  this knowledge will provide a solid foundation towards a career in data science, software engineering, or other disciplines involving programming.gain skills required to succeed in an entry-level it capacitylearn to perform day-to-day it support tasks including computer assembly, wireless networking, installing programs, and customer servicelearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugginglearn to use systems including linux, domain name systems, command-line interface, and binary codein this 5-course certificate program, you�ll prepare for an entry-level job in it support through an innovative curriculum developed by google. 80% of google it support professional certificate learners in the u.s. report a career impact within 6 months, such as finding a new job, getting a raise, or starting a new business. the program is part of grow with google, a google initiative to help create economic opportunities for all. learn more.upon completion of the certificate, learners eligible to work in the us can directly share their information with google, as well as employers like hulu, infosys, intel, walmart, and more.  this program also prepares you for the comptia a+ exams, the industry standard certification for it� you�ll earn a dual credential when you complete both. through a mix of video lectures, quizzes, and hands-on labs, you�ll get introduced to troubleshooting, customer service, networking, operating systems, system administration, and security � foundational it skills required for an entry-level role. you�ll hear from googlers whose foundations in it support, served as launchpads for their own careers. by dedicating ~5 hours a week, you can complete in 3-6 months. this program is ace� certified�when you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses. if you�re interested in building on your it foundations, check out the google it automation with python professional certificate.","gain skills required to succeed in an entry-level it capacitylearn to perform day-to-day it support tasks including computer assembly, wireless networking, installing programs, and customer servicelearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugginglearn to use systems including linux, domain name systems, command-line interface, and binary code",
google,"use google spreadsheets like da vincicreate charts and graphs using spreadsheet dataformat and customize any datause advanced tools like macros, importhtml and scripts to do things you can do with excelunderstand and use google drive to improve efficiency in storing and sharing fileshave a solid understanding of google docs and how to use the program effectivelybe able to create, edit, and share spreadsheets quickly and efficientlybe able to create professional looking presentations, as well as share and present themcreate forms and surveys, as well as collect and analyze data from themsolve real-life spreadsheet challenges with easecreate interactive & visually effective dashboards in sheetslearn hacks and hidden google sheets features that even the experts don't knowimport & append data from other google spreadsheetslearn advanced functions like query, importhtml, importxml and moremaster pivot tables, charts and sparklines to create impressive google spreadsheetssecrets to properly use tricky features like conditional formattingautomate your work with macros & google apps scriptdebuggingencryption algorithms and techniquescustomer servicenetwork protocolscloud computingbinary codecustomer supportlinuxtroubleshootingdomain name system (dns)ipv4network modelusing version controltroubleshooting & debuggingpython programmingconfiguration managementautomationbasic python data structuresfundamental programming conceptsbasic python syntaxobject-oriented programming (oop)setting up your development environmentregular expression (regex)testing in pythongoogle compute enginegoogle app engine (gae)google cloud platformcloud computingvirtual machinenetwork architecturedebuggingcloud storagedata storeload balancingvirtual private network (vpn)autoscaling","**updated to include google sheets november 2015 updates!!**become a master google docs user with this course on using google spreadsheets. you'll learn:this course will give you you everything you need to know about google spreadsheets.from the fundamentals, to the most advanced features, after taking this class you will be able to use spreadsheets like a master. pretty soon, you'll be using spreadsheets better than most people can use excel... and be able to take advantage of the super useful features that only google spreadsheets has to offer.the most complete course on google drive, docs, sheets, slides and forms.\nthis course covers every aspect of each of these apps. google has created an amazing set of office productivity tools that anybody can use for free! this course will have you jumping right in and learning everything from the basics to some of the more advanced techniques. if you've never used google office apps before, then this course is for you. if you are already a bit familiar, this course will likely still have something for you. this curriculum has been taught in live sessions. people who claimed they knew everything they needed to about google drive and office apps have said that they learned more than they thought they would. covered in this course:this is the only google sheets course you�ll ever going to need: because it�s going to teach you everything you need to know. from data collection, automation, to proper data analysis and visualization.what will happen by the end of the course:you'll be a confident spreadsheet useryou'll be the one that brings solutions to the table instead of problemsyou can tackle complex data analysis with easeyou'll create interactive and compelling dashboards in google spreadsheetsyou'll know the right way to approach a problemwhat you'll learn to get there:gain skills required to succeed in an entry-level it capacitylearn to perform day-to-day it support tasks including computer assembly, wireless networking, installing programs, and customer servicelearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugginglearn to use systems including linux, domain name systems, command-line interface, and binary codein this 5-course certificate program, you�ll prepare for an entry-level job in it support through an innovative curriculum developed by google. 80% of google it support professional certificate learners in the u.s. report a career impact within 6 months, such as finding a new job, getting a raise, or starting a new business. the program is part of grow with google, a google initiative to help create economic opportunities for all. learn more.upon completion of the certificate, learners eligible to work in the us can directly share their information with google, as well as employers like hulu, infosys, intel, walmart, and more.  this program also prepares you for the comptia a+ exams, the industry standard certification for it� you�ll earn a dual credential when you complete both. through a mix of video lectures, quizzes, and hands-on labs, you�ll get introduced to troubleshooting, customer service, networking, operating systems, system administration, and security � foundational it skills required for an entry-level role. you�ll hear from googlers whose foundations in it support, served as launchpads for their own careers. by dedicating ~5 hours a week, you can complete in 3-6 months. this program is ace� certified�when you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses. if you�re interested in building on your it foundations, check out the google it automation with python professional certificate.gain skills required to succeed in an entry-level it capacitylearn to perform day-to-day it support tasks including computer assembly, wireless networking, installing programs, and customer servicelearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugginglearn to use systems including linux, domain name systems, command-line interface, and binary codeautomate tasks by writing python scriptsuse git and github for version controlmanage it resources at scale, both for physical machines and virtual machines in the cloud analyze real-world it problems and implement the appropriate strategies to solve those problemsthis new beginner-level, six-course certificate, developed by google, is designed to provide it professionals with in-demand skills -- including python, git, and it automation -- that can help you advance your career.knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in it. python, in particular, is now the most in-demand programming language by employers.this program builds on your it foundations to help you take your career to the next level. it�s designed to teach you how to program with python and how to use python to automate common system administration tasks. you'll also learn to use git and github, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the cloud.this certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in it, like more advanced it support specialist or junior systems administrator positions. upon completing the program, you�ll have the option to share your information with potential employers, like walmart, sprint, hulu, bank of america, google (of course!), and more.we recommend that you have python installed on your machine. for some courses, you�ll need a computer where you can install git or ask your administrator to install it for you.if you�d like to learn the fundamentals of it support, check out the beginner level google it support professional certificate. gain skills required to succeed in an entry-level it capacitylearn to perform day-to-day it support tasks including computer assembly, wireless networking, installing programs, and customer servicelearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugginglearn to use systems including linux, domain name systems, command-line interface, and binary codeautomate tasks by writing python scriptsuse git and github for version controlmanage it resources at scale, both for physical machines and virtual machines in the cloud analyze real-world it problems and implement the appropriate strategies to solve those problemslearn the skills needed to be successful in a cloud architect roleprepare for the professional cloud architect certificationlearn about the infrastructure and platform services provided by google cloud platformreview each section of the exam using highest-level concepts to identify what is already known and surface gap areas for study.the google cloud professional cloud architect certification was ranked one of the top paying it certifications of 2019 by global knowledge.this program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized google cloud professional cloud architect certification. you'll deploy solution elements, including infrastructure components such as networks, systems and applications services, and you'll gain real world experience through a number of hands-on qwiklabs projects that you can share with potential employers.you'll also have the opportunity to practice key job skills, including case analysis, identifying technical watchpoints, and developing proposed solutions and test your basic abilities with activity tracking challenge labs. for learners looking to get certified, this program will also provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulate the exam-taking experience.upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. if you'd like to earn your google cloud certification, you will need to register for and pass the certification exam. please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program.","gain skills required to succeed in an entry-level it capacitylearn to perform day-to-day it support tasks including computer assembly, wireless networking, installing programs, and customer servicelearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugginglearn to use systems including linux, domain name systems, command-line interface, and binary codeautomate tasks by writing python scriptsuse git and github for version controlmanage it resources at scale, both for physical machines and virtual machines in the cloud analyze real-world it problems and implement the appropriate strategies to solve those problemslearn the skills needed to be successful in a cloud architect roleprepare for the professional cloud architect certificationlearn about the infrastructure and platform services provided by google cloud platformreview each section of the exam using highest-level concepts to identify what is already known and surface gap areas for study.","students will need to have a google account of some kind.basic familiarity with google apps is helpful, but not necessarybasic understanding of word processing, spreadsheet, and presentation softwarea free google account (you can also set one up during the course)no prior spreadsheet knowledge is needed.willingness to learn. let's do this!"
googleappscript,,,,
gosu,,"this specialization has been developed to help administrators master the foundations of establishing and managing g suite for their organization.you will setup a new g suite account, and explore provisioning options. you will learn how to manage users and become familiar with organizational structures and core services such as gmail and calendar. you will learn how to configure these services to meet your own needs for different parts of the organization.you will be introduced to google's best practices to protect your users and data. you will examine user and application security and become familiar with the single sign on (sso) options available for your organization. you will be able to use the tools provided to identify security events and risks and mitigate problems that may arise.you will configure email compliance and implement measures to protect your organization from spam, spoofing, phishing and malware attacks. you will also become familiar with the various mail routing options available.finally, you will learn google�s best practices for deploying g suite into your organization. important - before you enroll, you should be prepared to:- provide credit card details as part of the g suite trial account setup. no charges will be made to your card as long as you cancel the trial account within 14 days.- purchase a new domain or use one that you already own. the domain you use is not included as part of the g suite trial.- use the chrome web browser.",,
gosu,,"this specialization has been developed to help administrators master the foundations of establishing and managing g suite for their organization.you will setup a new g suite account, and explore provisioning options. you will learn how to manage users and become familiar with organizational structures and core services such as gmail and calendar. you will learn how to configure these services to meet your own needs for different parts of the organization.you will be introduced to google's best practices to protect your users and data. you will examine user and application security and become familiar with the single sign on (sso) options available for your organization. you will be able to use the tools provided to identify security events and risks and mitigate problems that may arise.you will configure email compliance and implement measures to protect your organization from spam, spoofing, phishing and malware attacks. you will also become familiar with the various mail routing options available.finally, you will learn google�s best practices for deploying g suite into your organization. important - before you enroll, you should be prepared to:- provide credit card details as part of the g suite trial account setup. no charges will be made to your card as long as you cancel the trial account within 14 days.- purchase a new domain or use one that you already own. the domain you use is not included as part of the g suite trial.- use the chrome web browser.",,
graphql,"work with one of the most in-demand web development programming languageslearn the basics as well as advanced concepts of nodejs in great detailbuild modern, fast and scalable server-side web applications with nodejs, databases like sql or mongodb and moreunderstand the nodejs ecosystem and build server-side rendered apps, rest apis and graphql apisget a thorough introduction to denojsbuild enterprise level react applications and deploy to productionlearn to build reactive, performant, large scale applications like a senior developerlearn the latest features in react including hooks, context api, suspense, react lazy + moremaster the latest ecosystem of a react developer from scratchbecome the top 10% reactjs developerusing graphql as a react developeruse redux, redux thunk and redux saga in your applicationslearn to compare tradeoffs when it comes to different state managementbuild amazing single page applications with react js and graphqlmaster fundamental concepts behind structuring graphql serversrealize the power of building flexible data schemasbe the engineer who explains how graphql works to everyone else, because you know the fundamentals so wellbecome fluent in the ecosystem supporting graphql, including the differences between apollo and relaypython programmingmachine learning conceptsmachine learningdeep learningdata clustering algorithmsmachine learningclassification algorithmsdecision treepython programmingmachine learning conceptsdeep learninglinear regressionridge regressionlasso (statistics)regression analysislogistic regressionartificial intelligence (ai)machine learningbusiness solutionsethics of artificial intelligencedata structuredata analysismodelingprocess managementclusteringclassificationlinear regressionmachine learning (ml) algorithms","join the most comprehensive node.js course on udemy and learn node in both a practical as well as theory-based way!---this course was updated to also include sections on deno.js - in addition to more than 30 hours of content on node.js!---node.js is probably the most popular and modern server-side programming language you can dive into these days!node.js developers are in high demand and the language is used for everything from traditional web apps with server-side rendered views over rest apis all the way up to graphql apis and . not to mention its applications in build workflows for projects of all sizes.just updated with all new react features for 2021 (react v17)! join a live online community of over 400,000+ developers and a course taught by industry experts that have actually worked both in silicon valley and toronto with react.js.\n\nusing the latest version of react (react 17), this course is focused on efficiency. never spend time on confusing, out of date, incomplete tutorials anymore. graduates of andrei�s courses are now working at google, tesla, amazon, apple, ibm, jp morgan, facebook, + other top tech companies.we guarantee you this is the most comprehensive online resource on react. this project based course will introduce you to all of the modern toolchain of a react developer in 2021. along the way, we will build a massive e-commerce application similar to shopify using react, redux, react hooks, react suspense, react router, graphql, context api, firebase, redux-saga, stripe + more. this is going to be a full stack app (mern stack), using firebase.note: this course assumes you are familiar with react!if you're tired of spinning your wheels trying to figure out what type of backend server to use, this is the course for you.authentication? you will learn it.  apollo data? included.  integration with react? of course!this course will get you up and running with graphql quickly, and teach you the core knowledge you need to deeply understand and build react applications quickly.both osx and windows supported.we'll start by mastering the fundamentals of graphql, including data types, schemas, and integration with express and react. source code is provided for each lecture, so you will always stay up-to-date with the course pacing.  special attention has been paid to creating code that you'll be able to make use of on your own fantastic projects.this specialization from leading researchers at the university of washington introduces you to the exciting, high-demand field of machine learning. through a series of practical case studies, you will gain applied experience in major areas of machine learning including prediction, classification, clustering, and information retrieval. you will learn to analyze large and complex datasets, create systems that adapt and improve over time, and build intelligent applications that can make predictions from data.learn about the business problems that ai/ml can solve as well as the specific ai/ml technologies that can solve them.  learn important tasks that make up the workflow, including data analysis and model training and about how machine learning tasks can be automated. use ml algorithms to solve the two most common supervised problems regression and classification, and a common unsupervised problem: clustering.explore advanced algorithms used in both machine learning and deep learning. build multiple models to solve business problems within a workflow.the certified artificial intelligence practitioner� (caip) industry validated certification helps professionals draw higher salaries (25% on average) and differentiate themselves from other job candidates. artificial intelligence (ai) and machine learning (ml) have become an essential part of the toolset for\nmany organizations. when used effectively, these tools provide actionable insights that drive critical\ndecisions and enable organizations to create exciting, new, and innovative products and services. this\nspecialization shows you how to apply various approaches and algorithms to solve business problems through ai\nand ml, follow a methodical workflow to develop sound solutions, use open source, off-the-shelf tools to\ndevelop, test, and deploy those solutions, and ensure that they protect the privacy of users. the specialization is designed for data science practitioners entering the field of artificial intelligence and will prepare learners for the caip certification exam. your journey to caip certification1) complete the coursera certified artificial intelligence practitioner professional certificate2) complete the course preparing for your certnexus certification exam3) review the caip aip exam blueprint4) purchase your caip exam voucher5) register for your caip exam","learn about the business problems that ai/ml can solve as well as the specific ai/ml technologies that can solve them.  learn important tasks that make up the workflow, including data analysis and model training and about how machine learning tasks can be automated. use ml algorithms to solve the two most common supervised problems regression and classification, and a common unsupervised problem: clustering.explore advanced algorithms used in both machine learning and deep learning. build multiple models to solve business problems within a workflow.","general knowledge of how the web works is recommended but not a must-havebasic javascript knowledge is strongly recommended but could be picked up whilst going through the courseno nodejs knowledge is required!basic html, css and javascript knowledgeyou do not need any experience with react or any other js framework!familiarity with react"
gravity,"master the basics of newtonian gravity.solve linear motion problems (with constant acceleration).understand and apply newton\'s universal law of gravitation and realise how it is derived.understand what is meant by the word ""field"" when talking about electric fields, magnetic fields or gravitational fields.understand and apply the concept of gravitational fields to questions and problems.solve questions involving the gravitational field strengthapply 1st and 2nd laws of newton to gravity (which leads to the equivalence principle).use circular motion principles to solve problems in physics.in this course you will learn how to use the following features of the gravity forms plugin...installation and overview of gravity formsadd-ons and form builder interfacecreating a basic contact formhow to display a gravity formform editor standard fieldsform editor advanced fieldspost fieldspricing fieldsconditional fieldshow to create a multi-page formhow to create a file upload formhow to create a guest author submission formhow to create an order formconsume gravity apiexecute complicated web automation scenarios in code and over http (manipulating selenium under the hood)create your own distributed generic site crawler!!!create automation dedicated machines with a clickcreate distributed automation systems using cloud services, service fabric or standalone applicationscreating complicated web automation testing from scratch without any infrastructure or frameworkgravitationtheory of relativityphysicsastronomyblack hole","welcome to the course: �gravity, the basics�*** what you will learn ***�gravity, the basics� teaches the elementary notions you need to understand and apply newtonian gravity:_ solving 1-dimensional motion problems (linear kinematics),_ newton�s universal law of gravitation,_ what are fields,_ gravitational fields and gravitational field strength,how to build a form?this is the exact question we get asked almost daily by our wordpress website clients. our answer has always been ��get the gravity forms plugin.�why?before the gravity forms plugin existed we used a variety of freely available plugins for wordpress that allowed us to build web forms but we quickly reverted to creating our own custom web forms as soon as something more robust than a simple �contact us� form was needed.then gravity forms was released by rocketgenius.when we first became aware of gravity forms back in 2010, our first thought was �why do we need to buy a plugin to build website forms when we already have free ones available, and if needed, we could simply code our own?�this course will teach you everything you need to know about gravity api. gravity api is a new automation concept which delivering automation infrastructures (such as selenium, appium, coded ui, etc.)  as a service, which means you do not need to deal with automation infrastructure - only with the automation tools or scenarios you would like to create.gravity api can automate browsers, desktop and mobile applications (not on the beta release) and even server side http requests.gravity api can be hosted on wcf host, iis, owin, service fabric, windows service, windows process, .net core (when selenium support will be available), cloud service, etc, and can be interact over http - you can also use it's objects directly in your code with any language and send it over http (client libraries)",,"basics in algebra (equivalent grade 9)basics in vector mathematics (equivalent grade 9) - operations on vectors are reminded briefly during the course.you must own the gravity forms wordpress plugin before taking this coursereasonable programming skillsat least basic understanding of service consuming through wsdl and httpat least basic understanding of asynchronous development (tpl, async/await, threads, etc.)at least basic understanding of objects serialization (json, xml)at least basic understanding of site crawling and data collectionat least basic understanding of how to use xpathat least basic understanding of automation testing"
green marl,how to use the pencil to create a wide range of expressive and engaging lines marks.how to infuse your line work with emotion that truly connect with a viewer.how to draw objects in a way that give the viewer a sense of what it feels like to the touch.how to make objects appear to recede in space using atmospheric perspective.understand environmental impacts of buildingslist design strategies for green buildingsdiscuss sustainability in the context of green buildingsenumerate green building standards and benchmarksidentify the differences in horizontal and vertical landscape techniqueslist the different types of green wall systemsenumerate steps in installing green roof systemsdescribe the benefits of green wall and green roof systems,"how you draw says just as much about you as what you draw. in this second course in the art & science of drawing series, you�ll learn to bring your drawings to life with dynamic and engaging mark making. you�ll learn to truly express yourself through drawing from the most delicate of marks to lines that jump off the page with passionate intensity.the art & science of drawing is a remarkable program that will teach you how to draw one day at a time. the program is simple, each day you�ll watch one video lesson that will introduce an essential drawing skill, and then do the recommended practice. the art & science of drawing is overflowing with powerful insights into the drawing process and offers some of the clearest, most accessible drawing instruction available.  many of the tools and techniques you'll learn here are rarely seen outside of private art academies. this course is highly recommended for anyone who wants to learn to paint as well. most master painters agree that drawing is a fundamental and essential skill for all painters.this course is approved for 0.5 gbci continuation education (ce) credits.while the building sector is one of the biggest contributors to global warming and climate change, it also has the greatest potential for mitigation. green buildings are designed to have reduced environmental impacts in terms of energy, water, transportation, waste and the indoor environment.     this course enumerates the goals and strategies for designing a green building. you�ll also understand how different benchmarks and standards for green buildings have evolved over time and where they�re headed in the future.       this course is organized in small modules. the first module elaborates on the environmental impacts of buildings. the second module will help you understand what green buildings are. next, you will understand various strategies of green building design in the third module. finally, the fourth module will provide you an insight to where green buildings are headed in the future.this course is approved for 0.5 gbci continuation education (ce) credits. after completing the course you can report your credit towards leed credential maintenance.landscaping in urban areas, where space is at a premium, is witnessing a host of innovations. green wall and green roof systems are increasingly becoming popular choices for turning facades, blind walls and roofs into �living� systems. along with being great landscape features, these systems also have the potential to enhance building performance!this course is a primer on green roof and green wall systems. it walks you through the different systems available, their installation as well as design considerations for the systems.if you want to understand how adding a green wall or roof in your design will benefit your project, this course is right for you!�         describe the motivations for green business and explain how the social license to operate affects a business �         describe the implications of path dependency for business and environment�         assess and choose environmental strategies for businesses  � describe the evolution of green business�         describe the motivations for green business and explain how the social license to operate affects a business �         describe the implications of path dependency for business and environment�         assess and choose environmental strategies for businesses  � describe the evolution of green businessyou will broaden your knowledge on sustainable fashion, sustainable business models, circular economy and related concepts. you will understand the challenges and opportunities brands face when they try to create or transition into sustainable business models. you will learn the basic vocabulary and tools to discuss sustainable business models� ideas and concepts in the context of fashion.you will be inspired by case examples from the fashion industry, and learn the details of their innovative and sustainable business models.","�         describe the motivations for green business and explain how the social license to operate affects a business �         describe the implications of path dependency for business and environment�         assess and choose environmental strategies for businesses  � describe the evolution of green businessyou will broaden your knowledge on sustainable fashion, sustainable business models, circular economy and related concepts. you will understand the challenges and opportunities brands face when they try to create or transition into sustainable business models. you will learn the basic vocabulary and tools to discuss sustainable business models� ideas and concepts in the context of fashion.you will be inspired by case examples from the fashion industry, and learn the details of their innovative and sustainable business models.",this course is for the beginners and anyone looking to develop solid fundamental drawing skills. it is recommended that true beginners enroll in the basic skills section of the art & science of drawing prior to taking this course.this is a beginner level course focused on green building design strategies. you do not need any prior experience or knowledge about green buildings. being familiar with the building construction industry or studying architecture will be helpfulthis is a beginner level course that explains green wall and green roof systems. you don't require any prior knowledge in landscape architecture.
gri,"corporate social responsibility management in a business organisationcsr historical developmentdeveloping csr policies for an organisationcsr approach and strategycsr project formulationcsr project implementationstakeholders relationship managementdriving forces of corporate social responsibilitycsr and sustainabilitycsr compliance and reportingintegration of csr in business strategymanifest good things into your life like:money, love, relationships, assist in careersevaluate why you want to select/report metrics.determine who your audience is.discover which reporting standards� metrics apply to you: gri-4, sasb, b-corp, irisexplore which metrics are most important for your purpose.topic modelmodel optimizationhyperparameter optimizationapplied machine learningfunctional testingsoftware testingselenium gridseleniumtest automation","csr course is comprehensive details of corporate social responsibility approach being followed by corporates. in this course you will acquire knowledge about csr policy making, sop development, planning, strategizing, implementation, monitoring and evaluation, project baseline and impact assessment, and compliance reporting which will give you information to act as an entrepreneur, employee and executive.concept of csr has been explained in a clear and effective way, supported by industry examples. every module is supplemented with interesting case studies, assignments and reference readings.this is a beginner course in hoodoo and conjure whose cultural roots of the southern united states are born of the african slave trade. the cross-over from various african tradition religions (atr) is obvious and admittedly respected. however, there are huge differences in practices and dogma from the atr.we will touch upon these similarities and where appropriate cast distinctions. one distinction from the atr�s like santeria, voodoo, voudun, and palo mayombe, etc.. is that hoodoo and conjure do not require initiation into the priesthood of a tradition. it�s for the lay-person to use.  we will be covering:  candle magic � use of types, colors and �works� such as herbs, oils and powders within.magical herbs � herbal �remedies� that amplify intent of a goal (often found in the spice rack)in this course we explore the differences (and commonalities) among various social and environmental reporting standards and their metrics systems.  you will understand why you want to identify, monitor and report social and environmental impact, and who your intended audience will be, as well as answer which stakeholder groups you should include.we start with a comparison of the four most often referenced reporting standards/organizations and the metrics they use.  this leads into a conversation about which standards, certifications, and frameworks are most appropriate for your organization and why.  by the end, you will be able to discriminate among which system(s)/metrics are most appropriate for the organizations you work with.   this course represents the second level in this area of study, accounting for sustainability: to comply with sec requirements.  this series is designed to give accounting and finance professionals an:this course is for everyone who is interested in the topic of csr and would like to understand it in its full dimension.assess whether a hypothesis is good based on its characteristicsmake use of best practices for research data collectionutilize inferential statistics for data analysisdescribe the basics of research methodologies and designthis course is for everyone who is interested in the topic of csr and would like to understand it in its full dimension.assess whether a hypothesis is good based on its characteristicsmake use of best practices for research data collectionutilize inferential statistics for data analysisdescribe the basics of research methodologies and designthis course is for everyone who is interested in the topic of csr and would like to understand it in its full dimension.assess whether a hypothesis is good based on its characteristicsmake use of best practices for research data collectionutilize inferential statistics for data analysisdescribe the basics of research methodologies and design",this course is for everyone who is interested in the topic of csr and would like to understand it in its full dimension.assess whether a hypothesis is good based on its characteristicsmake use of best practices for research data collectionutilize inferential statistics for data analysisdescribe the basics of research methodologies and design,"no formal qualification is required.master in social work (msw) and mba in rural management qualification holder can understand easily the practical aspects of this framework.adequate knowledge of the english languagethis is a beginners courseyou should have completed the remote viewing basics course.should have a spiritual traditionprerequisite: experience with regulatory reporting and i recommend completing the introductory course, accounting for sustainability: to comply with sec requirements in advanceadvanced preparation: none"
gridscript,,,,
grin,"how to utilise grain sample manipulator for granular synthesiswhat is beerhistory of beeringredients of beerproduction of beerbeer stylesclearly understand basic brewing conceptsbrew a 5 gallon batch of real beer made from water, malt, hops and yeastunderstand what yeast does during fermentationbottle your beer and enjoy with friends","granular synthesis - a weapon for all music makers alikelearn how to manipulate samples in order to create excellent instruments with the grain synthesiser. the coming together of samples and synthesis in one instrument. granular synthesis is arguably the most unique sounding form of synthesis in existence. take a ride with me as i reveal all its secrets.this course covers the fundamental facts of beer. it covers the history of beer, its current status in the society, the ingredients and the production process, the different beer styles, and serving beer. this is all done in half an hour (or so), so the course is a concise information package on this widely popular alcoholic drink. it serves perfectly as general information or as an introduction before digging deeper into some specific aspect.do you love craft beer? do you like to cook? master how to brew beer at home in 5 easy steps.we go over all of the basics and even little tips and tricks to make your brew day a huge success!brewing beer dates back to the 5th century bc. it's the most consumed beverage in the world today. home brewing has also come a long way. since it became legal in 1978, the quality of ingredients have become so good that anyone with no prior brewing experience can make outstanding beer right on their stove top! we start you at the very beginning and step you through the easy to understand process of brewing in your kitchen with basic equipment.beginner to advancedeveryone interested in beerbeginner to advancedeveryone interested in beerthis specialization provides introductory knowledge about the energy industry and associated career opportunities, whether you are interested in a utility technician or utility worker role, or emerging green energy solutions. it is intended for those considering a career in the field, and people already working in the industry who have less than three years of experience and have not completed similar training. through four courses, learners receive an overview of electric power systems, natural gas, safety practices, and the energy industry as a whole. to learn more, please watch the overview video by copying and pasting the following link into your web browser: https://www.youtube.com/watch?time_continue=2&v=2yh9qiyiudk.beginner to advancedeveryone interested in beer",beginner to advancedeveryone interested in beer,"must have reason 10nonenothing is needed before you begin this course except the love of good beerwhen you're ready to brew, you'll need minimal equipment and ingredients (we will go over this in detail in the course)"
groovy,create groovy applications from scratchuse the groovy consolewrite groovy applications in intellijunderstand the different features of the groovy languageretain information through quizzes and exercizes** user can start work on real time soap & rest api automation project ***** you can implement soapui on your work place or will also get ready for high paying api testing opportunity ***** detailed understanding of webservices/ api and its automation using soapui ***** detailed understanding of groovy scripting and its implementation in soapui ***** ready to work in soapui free as well as pro version ***** ready to develop reusable & maintainable framework for api automation ***play beautiful clear single notes on your harmonicahave fun playing harmonica!learn all the songs in the instant harmonica series so look out for the courses coming upplay irish washerwoman on your harmonicaweb developmentpython programmingapplication developmentsoftware developmentcomputer programmingsoftwarepython programmingvisual studio codegamescomputer programmingcomputer programmingjava,"are you looking to learn a new language? learning a new language helps expand your skill set as a developer and make you more marketable to employers. if you aren't learning a new language because it's not the one you use at work, i think you're missing out on the benefits. i often find that seeing how other languages solve problems makes me a better developer with the languages i use on a day to day basis. i am here to tell you all about an awesome dynamic language called apache groovy.what is apache groovy?apache groovy is a powerful, optionally typed and dynamic language, with static-typing and static compilation capabilities for the java platform, aimed at improving developer productivity thanks to a concise, familiar and easy to learn syntax. it integrates smoothly with any java program and immediately delivers to your application powerful features, including scripting capabilities,  authoring, runtime and compile-time  and  programming.the only course in the web world with 2 real time project of webservices/api automation using soapui tool.\nonly course on web which cover almost all advance topics,xpath assertionxquery assertionhandling cdatatestrunner objectmessageexchange objectxml holderjson parserinstant harmonica � play the wonderful irish washerwoman right now!if you have a tune that you would like me to teach please message me.take this course and play the tune instantly. no musical experience needed.you will pick it up straight away without needing any music skills. this is easy to play and really fun to learn. you will be proud of your achievements and happy with the results.'instant harmonica' is a new series of courses where you learn one tune per course. you will find it is taught in a friendly and encouraging manner and most importantly is it taught v-e-r-y s-l-o-w-l-y.ben hewlett is a very experienced music teacher who is able to be very patient and methodical. each lecture will introduce you to the next group of notes � usually just 4 new notes and that's it.",,"some experience using any programming languageno pre-requisite, we will teach groovy in this course which we will use as programming language for soapuiall you need is a ten hole diatonic harmonica in the key of c. you can get one locally or from my mail order shop sonnyboysmusicstore (link is on the last page of the course, in my profile or google it) - i'd recommend the sonnyboys special in c as a good all-round harmonica with low cost and great quality."
